id,genre,value_axis,structure,example_films,reverse_moves
1,越狱/希望,自由↔囚禁,越狱片套路：入狱-适应-计划-执行-自由（三幕+耐心中点）,《肖申克的救赎》,让主角在身体自由前已获得内心自由；真正的墙是体制
2,犯罪/家族,忠诚↔背叛,家族史诗：权力继承-忠诚考验-代价累积,《教父》《好家伙》,主角赢得一切却失去灵魂；忠诚成为毁灭的原因
3,高概念/科幻,真实↔幻象,英雄旅程变形：平凡世界-发现假象-觉醒-抉择,《黑客帝国》《银翼杀手》《终结者》,觉醒本身成为新的牢笼；选择比胜利重要
4,惊悚/恐怖,安全↔恐惧,入侵叙事：平凡空间-异象-升级-对抗,《惊魂记》《闪灵》《沉默的羔羊》,恐惧来自内心而非怪物；凶手可以早现身
5,非线性/犯罪,秩序↔偶然,环形/多线结构：命运交汇-因果回环,《低俗小说》,破坏时序制造宿命感；结尾回到开场
6,动画/成长,偏见↔接纳,弱者证明：偏见世界-受挫-坚持-被看见,《疯狂动物城》《玩具总动员》《阿甘正传》,偏见来自制度而非个体反派；主角赢得的不只是胜利
7,战争/牺牲,个体↔集体,任务叙事：任务下达-执行-人性冲突-代价,《拯救大兵瑞恩》,任务完成但人性代价不可逆；战争只是背景
8,灾难/史诗,生↔死,灾难叙事：正常世界-灾变-求生-抉择,《泰坦尼克号》,灾难只是背景，选择才是戏；爱情输给生死
9,爱情/抉择,爱↔责任,阻隔叙事：相遇-阻隔-坚守-选择,《卡萨布兰卡》,爱情输给更大的原则；离开也是爱
10,音乐/天才,才华↔代价,天才叙事：崛起-嫉妒-自我毁灭,《莫扎特传》,嫉妒者成为真正的悲剧主角；才华是诅咒
11,黑色/侦探,真相↔幻觉,追查叙事：案件-线索-追查-反转,《银翼杀手》《沉默的羔羊》,追查者与猎物互为镜像；真相伤害追查者
12,喜剧/荒诞,秩序↔荒诞,灾难连环升级：小意外-连锁反应-总爆发,《空前绝后满天飞》,让荒诞逻辑自洽到可怕；主角一本正经
