id,beat,position,function,example,antipattern
1,开场画面,第1页,展示主角"之前"的世界与缺陷；定调与钩子,《肖申克的救赎》开场：法庭审判定罪,用旁白交代背景而非用画面建立世界
2,主题呈现,第5页,有人用一句话点出主题（常以提问形式）,安迪对瑞德说"你得忙着活，或忙着死",主题直接由旁白喊出
3,铺垫,1-10页,建立世界观、人物、规则、缺陷；埋下所有将回收的设置,肖申克开场序列：监狱的运转规则、囚犯生态、瑞德的"能搞到任何东西",铺垫与主线无关的闲笔
4,推动（催化剂）,第12页,打破平衡的事件；≈激励事件,安迪被指控杀人、判处终身监禁,事件平淡不足以改变主角生活
5,争执（辩论）,12-25页,主角犹豫"我要不要前进",安迪初入监狱的适应与选择（接近瑞德）,犹豫拖太久（超过第25页）
6,第二幕衔接点,第25页,主角主动跨进新世界，无法回头,安迪决定在狱中建立图书馆、经营自己的生存策略,被动地被拖进第二幕
7,B故事,第30页,情感线/副线；与A故事交织,瑞德与安迪的友谊（两人关系的建立）,B故事与A故事无关
8,游戏,30-55页,承诺兑现的"有趣部分"；展示主角在新世界的能力,安迪为狱警做税务、放唱片、扩建图书馆,游戏段没有冲突只有展示
9,中点,第55页,虚假胜利或虚假失败；风险升级,安迪在狱中站稳脚跟，但被三姐妹盯上、被典狱长利用,中点只是普通事件没有转折
10,坏蛋逼近,55-75页,反派重整旗鼓、压力升级,典狱长诺顿发现安迪的洗钱价值，汤米被杀,反派原地踏步
11,一无所有,第75页,彻底失败；希望破灭时刻,汤米被杀，安迪被关禁闭、唯一证人没了,失败来得容易且无代价
12,灵魂黑夜,75-85页,低谷反思"我为什么会这样",安迪在禁闭室里的沉默；瑞德的假释恐惧,主角没有反思直接满血复活
13,第三幕衔接点,第85页,顿悟/解决方案；B故事启示A故事,安迪策划越狱的真相被揭开（海报后的洞）,解决方案凭空出现（无伏笔）
14,结局,85-110页,新旧世界碰撞；最终决战,安迪越狱、揭露典狱长；瑞德获释走向安迪,高潮由新引入的力量解决
15,终场画面,第110页,与开场镜像对比，展示"之后"的世界,瑞德与安迪在墨西哥海滩重逢,终场与开场无对比关系
