id,archetype,need,flaw,arc,example
1,英雄,实现目标、证明价值,自身缺陷或恐惧,从被动到主动、从逃避到承担,《肖申克的救赎》安迪
2,导师,传递智慧、推动主角,自身的未竟之事或固执,从指导者到交付者,《疯狂动物城》朱迪的父母
3,守卫者,考验主角、守住规则,恐惧被规则改变,从挡路到放行或同行,《夺宝奇兵》中的考古学教授形象
4,变形者,变化莫测、诱惑主角,不可捉摸的本质,从盟友到敌人或反之,《卡萨布兰卡》里克
5,影子（反派）,摧毁主角、实现自身秩序,与主角不可调和的价值,从幕后到前台、从强到被击溃,《教父》中的家族敌人们
6,信使,带来改变、传递信息,只传递不行动,从报信到卷入,《侏罗纪公园》中的马尔科姆
7,伙伴,陪伴主角、提供对照,自身也需成长,从附属到独立,《玩具总动员》胡迪与巴斯
8,捣蛋鬼,制造混乱、暴露真相,无恶意但有破坏性,从麻烦制造者到意外助力,《疯狂动物城》尼克
9,反英雄,以非常规手段达成正当目标,道德模糊,从不被接纳到被理解或毁灭,《好家伙》亨利
10,替罪羊,承担他人之罪、触发事件,无辜或半无辜,从被毁到揭露真相,《惊魂记》玛丽安
