id,pitfall,symptom,fix,severity
1,心理直述,动作行写"她意识到自己错了"等摄影机拍不到的内容,改写为可见行为：她停下手，放下杯子，看向门口,致命
2,信息倾倒,角色大段讲解双方都知道的设定,拆进冲突：审问/讨价/欺骗中交换信息,致命
3,括号解释意图,（他其实很害怕）等括号揭示真实心理,删除括号，把情绪写成动作与潜台词,致命
4,临时能力,高潮靠新出现的技能/密码/援军解决,让高潮使用前文已建立的能力与信息,致命
5,巧合救命,主角在绝境中被巧合拯救,让巧合制造问题而非解决问题,严重
6,纸片人,角色只有标签没有欲望,补自觉/不自觉欲望，让其在压力下选择,严重
7,反派太弱,反派无力威胁主角，高潮无压力,升级反派的力量/资源/信念，令其足以毁灭主角,严重
8,场景无转折,场景结束价值未翻转,补鸿沟与策略变化，让结尾价值与开头相反,严重
9,冲突重复,同类型冲突原地打转,升级冲突的代价/选择/对抗强度,严重
10,开场无钩子,前10分钟没有打破平衡的事件,把激励事件提前或补一个次情节钩子,严重
11,留而不收,开场埋的设置到结尾未回收,删除设置或在结局回收（契诃夫之枪）,中等
12,对白流水账,一问一答无攻防无潜台词,给每句台词标语言行动，加入打断/转移/试探,中等
13,支线独立成戏,支线故事与主线无关,让支线改变主线信息/资源/关系/风险/策略,中等
14,主控思想缺失,故事没有一句话可概括的意义,用"价值+原因"句式补主控思想并在高潮表达,中等
15,节拍错位,商业类型片的节拍位置严重偏离,对照data/beats.csv调整关键节拍位置,轻微
