id,move,definition,example_line,effect
1,请求,要求对方给东西或做某事,"帮我把这个带出去。",推进目标、暴露需求
2,拒绝,明确说不,"我不会再碰那些书了。",制造阻力、立边界
3,威胁,以代价相逼,"你要是再靠近一步，我就喊了。",升级冲突、施压
4,试探,用问题钓对方真实立场,"你真的想离开这里？",获取情报、制造悬念
5,指控,把责任按在对方头上,"是你害死了他。",反转攻防、升级对抗
6,安抚,降低对方戒备,"没事了，都过去了。",制造错觉、为反转铺垫
7,引诱,以好处诱使行动,"跟我走，什么都会有的。",推动对方入局
8,转移,回避话题把焦点移开,"今天天气不错。",暴露潜台词、制造疏离
9,揭露,亮出隐藏信息,"他不是你父亲。",引爆转折、改变关系
10,辩解,为行为找理由,"我只是想帮你。",暴露心虚、推进对峙
11,命令,不容商量的指示,"把门关上。",建立权力、测试服从
12,质疑,挑战对方逻辑或资格,"你有资格说这话？",削弱对方、逼其自辩
13,承诺,给出未来保证,"我保证找到你。",建立信任、埋下背叛伏笔
14,离间,挑拨他人关系,"她根本没把你当朋友。",转移矛盾、制造阵营
15,求和,主动示弱缓和,"我们谈谈，好吗？",节奏变化、设陷阱
16,告别,结束一段关系或阶段,"再见，安迪。",收束支线、制造情感
17,忏悔,坦白自己的过错,"是我告的密。",价值转折、弧光推进
18,玩笑,用幽默掩盖真实,"我看你是想我了。",调节气氛、隐藏真心
19,自嘲,贬低自己换取认同,"我就一修自行车的。",示弱自保、拉近距离
20,激将,刺激对方行动,"你不敢的。",推动行动、引其入彀
